Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,MonthlyIncome,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalIncome,CreditScore_Income,DebtToIncome_CreditScore,InterestRate_LoanDuration,LoanApproved
33,82927,500,0,0,10,16651,48,1,5,1,637,0.11020955,3,3857,1329,6910.583333,5,8270,2.6165100000000003,5.463004082004699,598.029973,88113,41463500,55.104775,14.325318528,0
55,15000,574,0,4,32,24473,120,1,0,3,413,0.518759025,4,6154,494,1250.0,4,99501,2.92473,5.741925199791442,699.4424971,21648,8610000,297.76768035000003,39.563646,0
36,45999,562,0,3,13,36934,48,2,1,3,551,0.418797212,2,2296,3298,3833.25,4,6800,2.50934,4.994051121083964,1223.400973,51593,25851438,235.364033144,11.971462368,0
32,64220,577,0,0,12,15425,96,1,0,0,610,0.479704028,0,1661,1115,5351.666667,4,15015,2.61925,5.193890083550094,393.3025734,66996,37054940,276.789224156,25.897434432,0
46,87147,624,2,3,23,18571,72,2,3,2,1222,0.334321891,1,3603,3890,7262.25,9,32030,2.21571,5.024895998923759,503.0981741,94640,54379728,208.616859984,18.179697456,0
31,15953,531,1,1,6,10317,24,1,0,3,503,0.064467274,1,2569,559,1329.416667,4,8569,2.19817,4.957241914613407,548.4325581,19081,8471043,34.232122494,5.897819375999999,0
35,38705,604,0,1,12,26770,72,1,1,3,248,0.290851907,3,955,348,3225.416667,4,216649,2.3977,4.762200678257899,683.4507446,40008,23377820,175.674551828,16.328559816,0
48,22115,614,0,0,28,17656,60,2,4,1,314,0.092219551,0,6196,503,1842.916667,5,75639,2.15656,5.047520302088938,523.1808309,28814,13578610,56.622804314,15.28647672,0
52,84051,580,0,3,28,15325,96,1,5,0,367,0.143461213,0,4046,973,7004.25,3,118978,2.6032499999999996,5.23003761936757,394.672037,89070,48749580,83.20750354,26.25916176,0
49,18641,630,0,3,28,33191,96,0,1,0,652,0.164068585,2,7731,3356,1553.416667,4,174827,2.53191,5.17235086783563,841.2808159,29728,11743830,103.36320855,25.68308496,0
39,15000,570,0,3,14,10551,60,1,1,2,517,0.412460585,0,477,867,1250.0,2,322695,2.30551,4.763144560056938,295.5466385,16344,8550000,235.10253345,13.61252766,0
26,26935,409,0,3,2,27782,36,2,3,2,630,0.253153983,1,4369,1844,2244.583333,3,26677,3.08282,5.53281300063539,1188.721929,33148,11016415,103.53997904700002,11.020327092,0
56,42911,550,0,3,33,21669,48,1,4,0,312,0.082717561,2,880,2465,3575.916667,4,85028,2.41669,5.101365278040771,730.9120589,46256,23601050,45.49465855,12.491485296,0
46,20776,623,0,0,24,26900,60,3,5,2,908,0.186780991,1,1901,2317,1731.333333,5,23381,2.204,4.667970297677567,739.7396494,24994,12943448,116.364557393,13.07396802,0
50,74096,541,2,1,25,17928,48,1,0,2,392,0.265907781,2,8220,918,6174.666667,2,49230,2.42428,5.145041856000785,609.2488125,83234,40085936,143.856109521,12.706298736,0
68,65506,638,0,0,44,13387,84,2,1,3,628,0.653962889,0,2738,551,5458.833333,5,81539,2.19387,4.991198052572148,338.0945156,68795,41792828,417.228323182,20.92612872,0
41,32478,599,0,3,18,31543,36,0,1,3,721,0.558798146,4,31613,5427,2706.5,8,252178,2.17043,4.584760735305606,1188.709083,69518,19454322,334.720089454,7.56721116,0
44,69616,626,0,0,24,29213,48,0,0,3,970,0.046388168,2,1644,1499,5801.333333,7,61046,2.11213,5.034437406503333,974.2580275,72759,43579616,29.038993168,12.1658688,0
29,60985,507,0,1,6,40294,36,0,2,3,533,0.09753471,3,2471,768,5082.083333,8,132912,2.7179399999999996,5.155279303781707,1635.878711,64224,30919395,49.45009797,9.567685692,0
39,121006,524,0,0,16,29227,36,2,3,0,598,0.25159251,1,12800,1180,10083.83333,7,26318,2.52227,5.075995449170536,1173.929623,134986,63407144,131.83447524,9.275662728,0
45,24265,562,0,1,23,17336,84,2,3,2,725,0.105371551,0,2828,1710,2022.083333,3,258032,2.61336,5.058857726799598,445.3860817,28803,13636930,59.21881166199999,21.49731486,0
35,42285,586,0,1,11,25761,36,1,0,2,117,0.079363402,4,2407,426,3523.75,7,7394,2.17761,5.111880280288262,1039.729603,45118,24779010,46.506953572,9.4072752,0
53,28838,644,0,3,35,22775,24,0,2,0,413,0.495208683,1,4950,832,2403.166667,5,2290,1.75775,4.159020293290236,1129.305355,34620,18571672,318.914391852,4.151387952,0
51,40534,592,0,3,32,25755,72,0,1,3,736,0.358480035,0,6521,4241,3377.833333,4,471060,2.44755,5.0659615572959105,704.2969936,51296,23996128,212.22018072,18.47805588,0
40,32366,566,0,3,21,33659,12,2,4,0,625,0.5447012,4,6321,2298,2697.166667,8,91848,2.15659,4.728200513937622,3156.061047,40985,18319156,308.3008792,2.682705612,0
54,26424,542,0,4,31,53427,60,1,4,0,292,0.159201233,2,3156,2427,2202.0,10,7634,2.87427,5.410116117053311,1704.644689,32007,14321808,86.287068286,17.56161384,0
18,94249,492,0,1,0,29582,60,3,2,0,599,0.31144713,2,6976,494,7854.083333,7,14628,2.88582,5.6670925085091035,995.8789824,101719,46370508,153.23198796,19.269562500000003,0
55,99572,515,0,4,32,21038,72,0,2,2,265,0.518240403,3,7233,530,8297.666667,3,5423,2.78538,5.781397754868626,680.0678141,107335,51279580,266.893807545,24.0656832,0
55,25806,608,0,3,33,26757,72,2,2,0,915,0.436407578,2,1654,1837,2150.5,8,63939,2.37757,5.004371149305376,721.4762115,29297,15690048,265.335807424,18.031486032000004,0
33,15000,590,0,1,10,20174,108,1,5,3,303,0.309862831,4,5526,456,1250.0,6,10592,2.70174,4.771759874511709,440.6675828,20982,8850000,182.81907029,24.591267684,0
31,101761,550,0,1,7,67435,60,1,3,0,540,0.131743874,3,4193,2660,8480.083333,3,174006,2.9743500000000003,5.3133121496859195,2109.063366,108614,55968550,72.4591307,16.9387716,0
60,70031,625,0,1,39,37995,72,0,0,3,713,0.267487903,1,874,1394,5835.916667,5,5847,2.40495,5.0123489902439955,1026.362595,72299,43769375,167.179939375,18.089022528,0
40,67732,611,0,4,18,23833,96,1,2,2,739,0.260594662,3,1392,422,5644.333333,4,6557,2.53333,4.958778771028205,569.6327951,69546,41384252,159.22333848199997,23.605907424,0
36,15661,632,0,4,12,22930,84,1,2,2,239,0.05047569,3,7918,2799,1305.083333,4,63170,2.3193,4.894331864514297,565.1566751,26378,9897752,31.90063608,20.121766896,0
33,35006,456,0,4,10,26129,108,0,4,0,396,0.093769408,3,3867,343,2917.166667,5,221037,3.43129,5.527692556573674,712.4601884,39216,15962736,42.758850048,32.9998158,0
18,41914,520,0,0,0,19045,12,2,2,0,305,0.564870845,3,5034,2854,3492.833333,6,4740,2.24045,5.081284522637953,1817.698723,49802,21795280,293.7328394,3.098334288,0
50,82585,483,0,4,26,44016,72,2,2,3,406,0.12881486,1,3073,735,6882.083333,9,66495,3.17516,5.660786729775288,1382.734875,86393,39888555,62.21757738,23.072044608,0
40,30117,616,0,3,20,12622,48,1,4,2,394,0.368006995,4,1867,21035,2509.75,5,55517,1.9962199999999999,4.653485435670772,395.3088965,53019,18552072,226.69230892,10.394364816,0
41,60518,522,0,3,19,34185,12,1,1,2,567,0.02179924,4,2981,2110,5043.166667,5,4542,2.38185,5.073999753646032,3261.465374,65609,31590396,11.37920328,3.08945682,0
22,44308,491,0,3,0,46639,48,2,3,0,376,0.096043654,4,4497,274,3692.333333,5,92688,2.9613899999999997,5.267488082568389,1618.709401,49079,21755228,47.157434114,13.318286736,0
51,20468,508,1,3,28,20792,60,2,2,0,187,0.17126982,2,692,582,1705.666667,5,67346,2.71792,5.379038111038069,659.1424148,21742,10397744,87.00506856,17.3604306,0
32,16843,586,0,4,8,26177,72,1,2,0,354,0.19431473,0,947,554,1403.583333,7,40390,2.48177,4.881617764634997,686.4615601,18344,9869998,113.86843178,17.15773824,0
43,27975,609,0,0,21,26578,36,2,0,1,275,0.236882454,4,16164,166,2331.25,3,177315,2.07078,4.367124992486476,975.2085411,44305,17036775,144.261414486,6.865841052,0
40,96726,619,1,0,16,28378,120,1,3,0,643,0.368371552,3,9076,1391,8060.5,1,47894,2.73878,5.478527648921743,748.3939894,107193,59873394,228.021990688,36.01711824,0
58,32381,546,2,3,32,34294,24,1,3,0,286,0.162746183,1,6678,7288,2698.416667,5,4008,2.36294,5.225310574501768,1870.202765,46347,17680026,88.859415918,6.5529289440000005,0
23,15706,570,2,4,0,29279,60,1,3,3,556,0.140932168,2,4199,739,1308.833333,5,72217,2.49279,5.449016369951552,941.7394791,20644,8952420,80.33133576,17.815067640000002,0
42,32030,509,0,0,20,25956,60,2,2,0,284,0.205335544,0,2346,396,2669.166667,4,9630,2.76456,4.96012688345772,755.81149,34772,16303270,104.515791896,14.76171522,0
41,69383,609,0,4,19,53330,60,2,0,0,627,0.289326094,4,4638,13765,5781.916667,7,9864,2.5383,5.1919435570891945,1627.05567,87786,42254247,176.19959124599998,16.173766739999998,0
33,56521,540,0,3,11,13775,108,1,1,1,824,0.06817571,3,10121,7353,4710.083333,6,24619,2.88775,5.639990611694314,388.1543279,73995,30521340,36.8148834,34.354253628,0
32,42576,515,0,4,8,22414,36,0,0,3,662,0.131553053,2,743,337,3548.0,4,384760,2.49914,4.790081638135199,866.99593,43656,21926640,67.749822295,8.260157556,0
24,39733,520,0,1,2,10834,96,0,0,3,303,0.142057926,3,5184,2691,3311.083333,5,134353,2.8583399999999997,5.135636406522565,271.839962,47608,20661160,73.87012152,25.319770848,0
41,36673,606,0,3,18,13121,96,1,2,3,315,0.190539429,3,2428,820,3056.083333,2,54012,2.45121,4.954168456966316,313.2093661,39921,22223838,115.466893974,23.562033696,0
18,31457,580,2,3,0,28804,48,2,0,2,265,0.64897292,4,1333,1580,2621.416667,7,15243,2.3380400000000003,4.878207027177096,935.8321239,34370,18245060,376.4042936,11.422513824,0
46,20783,631,1,1,24,46277,84,2,2,0,556,0.153602289,1,5812,474,1731.916667,5,432565,2.5577699999999997,5.294844416977708,1262.622426,27069,13114073,96.923044359,23.549717016,0
37,54348,544,0,1,14,22597,36,2,2,0,389,0.038473697,2,3530,2192,4529.0,5,61867,2.35597,4.902414527556804,886.9442824,60070,29565312,20.929691168,8.652120552,0
34,34831,478,2,4,12,24265,72,2,2,0,260,0.355498807,1,3633,4040,2902.583333,4,18566,3.00265,5.433061807121284,722.4715649,42504,16649218,169.92842974599998,21.253075632,0
32,98269,628,0,1,9,19580,120,1,1,0,361,0.306484702,3,2433,825,8189.083333,3,175002,2.6058,5.143755797080573,465.7146654,101527,61712932,192.472392856,31.74986844,0
59,30578,632,0,3,36,23762,12,1,1,1,693,0.421915181,2,25135,1512,2548.166667,2,91754,1.72762,3.931955505852018,2149.882281,57225,19325296,266.650394392,1.855232892,0
29,49415,495,0,0,9,18489,72,1,1,2,169,0.150759148,3,9774,396,4117.916667,4,27739,2.85989,5.659228551666738,580.6061938,59585,24460425,74.62577826,23.059344816,0
41,40358,619,0,3,16,10669,60,0,4,3,367,0.460580097,0,2366,529,3363.166667,9,59741,2.06169,4.743276241164961,297.6990773,43253,24981602,285.099080043,13.4992017,0
37,37887,540,0,2,14,52949,24,2,4,3,290,0.306562533,2,330,1180,3157.25,8,54497,2.57949,5.3553308581263215,2924.658362,39397,20458980,165.54376782000003,6.883096463999999,0
46,42864,597,0,3,23,20064,108,2,2,3,451,0.169878967,2,3497,3896,3572.0,5,4179,2.6656400000000002,5.220225905073458,499.8527348,50257,25589808,101.417743299,29.43081918,0
18,46558,596,0,3,0,24709,84,2,2,3,235,0.262387863,4,1867,2908,3879.833333,2,196195,2.51709,5.126259806135463,645.7646018,51333,27748568,156.383166348,22.073973264,0
43,56963,596,2,0,19,62684,36,1,4,2,723,0.078917251,3,3831,358,4746.916667,9,18958,2.4968399999999997,5.13070571169308,2536.413371,61152,33949948,47.034681596,9.476690796,0
59,56047,584,0,4,35,22224,72,2,0,3,643,0.39086321,3,1551,904,4670.583333,9,132946,2.4522399999999998,4.903749167728709,585.7184373,58502,32731448,228.26411464,17.313664248,0
32,43215,567,0,3,10,24633,60,2,2,0,390,0.497141487,1,4164,1372,3601.25,5,9223,2.46133,5.267912233513386,763.2711083,48751,24502905,281.879223129,16.65053958,0
49,80442,514,0,3,27,32654,84,0,0,2,217,0.471246357,3,6758,1149,6703.5,3,74570,3.0065399999999998,5.3211695331007824,896.9632368,88349,41347188,242.220627498,23.784469968,0
41,44415,615,0,1,21,11353,84,1,2,3,571,0.331516274,0,2197,767,3701.25,5,3242,2.28853,5.0123945874202676,288.264429,47379,27315225,203.88250851,21.10424358,0
26,57396,612,0,1,3,25951,36,0,0,0,482,0.795162329,1,2718,527,4783.0,4,3231,2.0495099999999997,4.41171429265314,957.3491654,60641,35126352,486.639345348,7.00676028,0
44,78423,596,0,1,18,18600,48,1,1,0,593,0.372391104,1,1245,209,6535.25,3,51929,2.156,4.479703371876312,566.6762819,79877,46740108,221.945097984,9.632516304,0
33,34803,608,0,0,10,19709,72,1,0,0,564,0.233116828,1,2688,237,2900.25,5,119852,2.30709,5.25665795919803,563.1787353,37728,21160224,141.735031424,19.895366088,0
40,35520,551,0,1,17,46577,84,1,1,0,833,0.137579441,0,4409,744,2960.0,7,8170,2.9607699999999997,5.406447780197271,1307.733988,40673,19571520,75.806271991,24.552929184,0
40,42259,578,0,0,16,26117,48,2,3,3,896,0.436593866,3,8516,2494,3521.583333,6,65936,2.32117,4.921733200814526,854.6917226,53269,24425702,252.351254548,11.627259696,0
37,58433,584,0,0,15,17713,12,1,3,0,195,0.174663734,4,1303,755,4869.416667,4,4380,1.90713,4.4431749121545945,1638.646955,60491,34124872,102.003620656,2.369016396,0
39,25855,476,0,3,16,38041,36,2,1,3,612,0.416129253,1,7022,4179,2154.583333,3,213226,2.85041,5.5453488528675985,1630.585625,37056,12306980,198.077524428,11.070321804,0
80,48501,676,0,0,55,66707,72,2,4,0,404,0.243448624,2,2282,895,4041.75,6,8613,2.4370700000000003,5.0522898867741155,1818.473694,51678,32786676,164.571269824,18.378455832,0
43,18167,534,0,0,18,26829,60,1,0,2,169,0.164616952,1,18657,2666,1513.916667,5,145069,2.64829,4.916754142724649,774.5351165,39490,9701178,87.905452368,14.50468278,0
38,33753,608,0,3,15,16528,120,2,0,1,441,0.234580017,3,1894,1590,2812.75,7,13492,2.67528,5.334872050949301,417.0369213,37237,20521824,142.624650336,34.15303176,0
31,56557,552,0,1,8,26354,48,2,4,0,403,0.502085414,3,457,467,4713.083333,1,4984,2.45354,4.809782261183971,846.6205587,57481,31219464,277.151148528,11.104322592,0
